Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2021-07-30,ApplicateAI,2014,Gurugram,"Madhusudan Atmakuri, Ranjeet Kumar",Inflection Point Ventures,30000000.0,Series A,2021,Technology
2021-07-31,Teachmint,2020,Bangalore,"Divyansh Bordia, Mihir Gupta","Rocketship.vc, Vulcan Capital",78000000.0,Series B,2021,Other
2021-07-31,Navars,2019,Hyderabad,Sravan Varma Datla,Faad Network,169032154.0,Seed,2021,Education
2021-07-31,Pine Labs,1998,Noida,Amrish Rau,Invesco Developing Markets Fund,100000000.0,Seed,2021,Technology
2021-07-31,Policybazaar,2008,Gurugram,"Alok Bansal, Avaneesh Nirjar, Manoj Sharma, Tarun Mathur, Yashish Dahiya","Falcon Edge Capital, White Oak Global Advisors",75000000.0,Seed,2021,Finance
2021-08-01,Wakefit,2014,Bangalore,"Ankit Garg, Chaitanya Ramalingegowda",SIG,20000000.0,Series C,2021,Other
2021-08-01,MedTel Healthcare,2017,Orissia,"Ajit Choudhury, Lalit Ranjan Manik, Manish Kumar Swain, Shashank Singhal, Siba Prasad Panda",Inflection Point Ventures,5000000.0,Pre-series A,2021,Automotive
2021-08-01,FlashPrep,2020,Bangalore,"Dhiresh Nagwani, Ashwini Dhekane",Venture Highway,500000.0,Pre-seed,2021,Education
2021-08-02,Breathe Well-being,2015,Delhi,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal",1000000.0,Pre-series A,2021,Automotive
2021-08-02,Zupee,2018,Gurugram,"Dilsher Singh Malhi, Siddhant Saurabh","Orios Venture Partners, Matrix Partners India",10000000.0,Seed,2021,Gaming
2021-08-02,ThatMate,2019,Satara,Nishant Neeraj,"Supriya Kumari, Premanshu Singh",140000.0,Seed,2021,Automotive
2021-08-02,CloudFiles,2020,Bangalore,"Vishesh Singhal, Ankit Gupta, Siddharth Garg",Titan Capital,300000.0,Pre-seed,2021,Technology
2021-08-02,Siply,2020,Bangalore,"Sousthav Chakrabarty, Anil Bhat","LetsVenture, AngelList India, Founder's Room Circle",3200000.0,Pre-series A,2021,Finance
2021-08-02,Planys,2015,Chennai,"Tanuj Jhunjhunwala, Vineet Upadhyay, Rakesh Sirikonda","Kieretsu Forum, Lets Venture, Shell",1600000.0,Pre-series A,2021,Other
2021-08-03,The Money Club,2016,Noida,"Manuraj Jain, Surajit Ra","SOSV, Venture Catalysts",1700000.0,Pre-series A,2021,Finance
2021-08-03,ION Energy,2016,Mumbai,Akhil Aryan,Inflection Point Ventures,3600000.0,Pre-series A,2021,Automotive
2021-08-03,Dream Sports,2008,Mumbai,"Bhavit Sheth, Harsh Jain","TCV, D1 Capital Partners, Falcon Edge.",400000000.0,Seed,2021,Gaming
2021-08-03,Chqbook,2017,Delhi,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, YWC Venture Capital",1000000.0,Seed,2021,FinTech
2021-08-04,Edvizo,2017,Bangalore,Ravi Nishant,Inflection Point Ventures,1000000.0,Pre-series A,2021,Consumer Services
2021-08-04,Leap Finance,2019,Bangalore,Vaibhav Singh,Jungle Ventures,17000000.0,Series B,2021,FinTech
2021-08-05,Glamyo Health,2019,Delhi,"Archit Garg, Dr Preet Pal Thakur",Ananta Capital,3000000.0,Series A,2021,Automotive
2021-08-06,iMumz,2019,Bangalore,"Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate","Enzia Ventures, AngelList",300000.0,Seed,2021,Automotive
2021-08-06,Keito,2016,Pune,Amal P S,"Rajesh Agarwal, Nandkishore Mundada",169032154.0,Seed,2021,Technology
2021-08-07,Chara,2019,Bangalore,"Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000.0,Seed,2021,Technology
2021-08-07,Verandah,2011,Mumbai,Anjali Patel Mehta,"Mike Novogratz, Neeraj Arora",1000000.0,Seed,2021,Lifestyle
2021-08-07,Enmovil,2015,Hyderabad,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,1300000.0,Pre-series A,2021,Technology
2021-08-07,SuperBottoms,2015,Mumbai,Pallavi Utagi,Alteria Capital,400000.0,Seed,2021,Consumer Services
2021-08-07,GlobalBees,2021,Delhi,"Nitin Agarwal, Supam Maheshwari","Premji Invest, Steadview Capital",111000000.0,Series B,2021,E-Commerce
2021-08-08,Truemeds,2019,Mumbai,"Akshat Nayyar, Kunal Wani",InfoEdge,5000000.0,Series A,2021,Automotive
2021-08-08,FanCode,2019,Mumbai,Yannick Colaco,Dream Sports,50000000.0,Seed,2021,Gaming
2021-08-08,Visit Health,2015,Delhi,"Shashvat Tripathi, Anurag Prasad, Vaibhav Singh, Chetan Anand",Docprime Technologies,7500000.0,Seed,2021,Wellness/Beauty
2021-08-09,Ourbetterplanet,2020,Bangalore,Pallavi Srivastava,VANS Group,300000.0,Seed,2021,E-Commerce
2021-08-09,Safex Chemicals,1991,Delhi,"SK Jindal, SK Chaudhary",BanyanTree Finance Pvt. Ltd.,50000000.0,Seed,2021,Technology
2021-08-10,BharatPe,2018,Delhi,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",8200000.0,Debt,2021,FinTech
2021-08-10,Velocity,2020,Bangalore,"Abhiroop Medhekar, Atul Khichariya, Saurav Swaroop",Valar Ventures,1300000.0,Seed,2021,FinTech
2021-08-10,Nimble Growth Organics,2016,Bangalore,"Rahul Saria, Nagendra Kalkuli, Abhisek Bhagchandka, Pradeep Kumar ML",Inflection Point Ventures,169032154.0,Seed,2021,Agriculture
2021-08-10,Ayu Health,2019,Bangalore,"Himesh Joshi, Arijit Gupta, Karan Gupta","Vertex Ventures, Stellaris Venture Partners",6300000.0,Series A,2021,Wellness/Beauty
2021-08-11,CRED,2018,Bangalore,Kunal Shah,"Tiger Global, Falcon Edge",250000000.0,Series E,2021,Finance
2021-08-11,WeRize,2019,Bangalore,"Vishal Chopra, Himanshu Gupta","3one4 Capital, Kalaari Capital",8000000.0,Series A,2021,Finance
2021-08-11,CredR,2015,Bangalore,Sasidhar Nandigam,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures",6500000.0,Seed,2021,Automotive
2021-08-11,Zetwerk,2018,Bangalore,"Amrit Acharya, Rahul Sharma, Srinath Ramakkrushnan, Vishal Chaudhary","Sequoia Capital India, Accel",120000000.0,Series D,2021,E-Commerce
2021-08-11,BeyondSkool,2020,Mumbai,Payal Gaba,Tomorrow Capital,2000000.0,Seed,2021,Education
2021-08-11,Miko,2015,Mumbai,"Sneh R Vaswani, Prashant V Iyengar, Chintan S Raikar","IIFL AMC, Mankind Pharma Family Office, Aroa Ventures",28000000.0,Seed,2021,Consumer Services
2021-08-12,Khatabook,2018,Bangalore,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",100000000.0,Series C,2021,Finance
2021-08-12,Revfin,2017,Delhi,Sameer Aggarwal,"Ruchirans Jaipuria, Rishi Kajaria",4000000.0,Pre-series A,2021,Finance
2021-08-12,SuperGaming,2017,Pune,"Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Series A,2021,Gaming
2021-08-12,Junio,2020,Delhi,Shankar Nath,"Kunal Shah, Deepak Abbot",1000000.0,Seed,2021,Education
2021-08-12,Instoried,2018,Bangalore,"Sharmin Ali, Sutanshu Raj","EXPERT DOJO, Mumbai Angels",169032154.0,Seed,2021,Technology
2021-08-13,Intervue,2021,Delhi,"Rahul Arora, Pushpender Singh Rautela","Titan Capital, Kunal Shah",169032154.0,Seed,2021,Technology
2021-08-13,Elucidata,2015,Delhi,"Abhishek Jha, Richard Kibbey, Swetabh Pathak",Hyperplane Venture Capital,5000000.0,Pre-series A,2021,Technology
2021-08-13,MYSUN,2016,Delhi,Gagan Vermani,TATA Cleantech Capital,2000000.0,Seed,2021,Energy
2021-08-13,Fabriclore,2016,Jaipur,"Vijay Sharma, Anupam Arya, Sandeep Sharma","Fluid Ventures, Mulberry Silks",700000.0,Pre-series A,2021,Lifestyle
2021-08-14,Taskmo,2018,Bangalore,"Prashant Janadari, Naveen Ramchandra",Quess Corp India,1400000.0,Seed,2021,E-Commerce
2021-08-15,Superplum,2019,Noida,Shobhit Gupta,Marquee investors,3800000.0,Pre-series A,2021,Technology
2021-08-15,Sporjo,2020,Mumbai,G Srinivvasan,Punit Balan,2000000.0,Seed,2021,Gaming
2021-08-15,Keka HR,2014,Hyderabad,Vijay Yalamanchili,Recur Club,1600000.0,Seed,2021,Technology
2021-08-16,UpScalio,2021,Gurugram,Gautam Kshatriya,Inflection Point Ventures,42000000.0,Seed,2021,E-Commerce
2021-08-16,Arcatron Mobility,2015,Pune,Ganesh Sonawane,Klub,169032154.0,Seed,2021,Automotive
2021-08-17,HomeLane,2014,Bangalore,Srikanth Iyer,"IIFL AMC, Oman India Joint Investment Fund",50000000.0,Series E,2021,Other
2021-08-17,GalaxyCard,2017,Gurugram,Amit Kumar,JITO Angel Network,450000.0,Seed,2021,FinTech
2021-08-17,Eka.care,2020,Bangalore,Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow",4500000.0,Seed,2021,Automotive
2021-08-17,Apna,2019,Bangalore,Nirmit Parikh,"Sequoia Capital India, rocketship.vc",70000000.0,Series B,2021,Other
2021-08-18,Gobillion,2020,Delhi,"Roshan Farhan, Kulapradip Bharali","YCombinator, Justin Mateen, Pioneer Fund",2900000.0,Seed,2021,Other
2021-08-18,Ecom Express,2012,Delhi,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","CDC Group, Partners Group",20000000.0,Seed,2021,E-Commerce
