Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-04-07,Gegadyne Energy,Angel,5800000.0,2018,2016,Mumbai,Energy
2018-04-07,Satya MicroCapital,Venture - Series Unknown,400000000.0,2018,2016,Delhi,Finance
2018-04-08,CropIn Technologies,Series B,580000000.0,2018,2016,Bangalore,Agriculture
2018-04-08,Twenty Two Motors,Corporate Round,65000000.0,2018,2016,Haryana,Energy
2018-04-09,DigiConnectt Technologys,Seed,125000.0,2018,2016,Bangalore,Technology
2018-04-10,Boodmo,Seed,70000000.0,2018,2016,Gurugram,Consumer Services
2018-04-10,Ummeed Housing Finance Private Limited,Series C,600000000.0,2018,2016,Haryana,Finance
2018-04-10,Quikr,Seed,550000000.0,2018,2016,Bangalore,Logistics
2018-04-10,MyDentistChoice,Seed,500000.0,2018,2016,Hyderabad,Automotive
2018-04-11,Toppr,Series C,35000000.0,2018,2016,Mumbai,Education
2018-04-11,MobiKwik,Series E,240000000.0,2018,2016,Gurugram,FinTech
2018-04-11,GoZefo,Venture - Series Unknown,210000000.0,2018,2016,Bangalore,Technology
2018-04-13,FeedMyPockets,Seed,44000000.0,2018,2016,Bangalore,Marketing
2018-04-13,Emflux Motors,Seed,364846.0,2018,2016,Bangalore,Energy
2018-04-13,Nutrisattva (Proliva),Angel,5800000.0,2018,2016,Anand,Consumables
2018-04-14,Microchip Payments,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-04-15,Rockmetric,Grant,5800000.0,2018,2016,Mumbai,Technology
2018-04-16,PrestLoans,Seed,100000.0,2018,2016,Delhi,FinTech
2018-04-17,True Elements,Seed,50000000.0,2018,2016,Pune,Consumables
2018-04-20,Traveo Soft Pvt. Ltd.,Seed,1200000.0,2018,2016,Bangalore,Logistics
2018-04-21,Printline Media(ThePrint),Seed,34900000.0,2018,2016,Delhi,Media/Entertainment
2018-04-21,NewsBytes,Seed,1000000.0,2018,2016,Gurugram,Media/Entertainment
2018-04-21,BetterPlace Safety Solutions Pvt. Ltd.,Series A,3000000.0,2018,2016,Bangalore,Wellness/Beauty
2018-04-23,Spinny,Series A,11000000.0,2018,2016,Gurugram,Consumer Services
2018-04-23,Avenues Payments India Pvt. Ltd.,Corporate Round,1300000.0,2018,2016,Mumbai,Technology
2018-04-24,ZAMROO,Seed,5800000.0,2018,2016,India,E-Commerce
2018-04-24,&ME,Seed,5800000.0,2018,2016,Bangalore,Consumables
2018-04-26,PharmEasy,Series C,80000000.0,2018,2016,Mumbai,Automotive
2018-04-27,Portea Medical,Seed,250000000.0,2018,2016,Bangalore,Automotive
2018-04-28,Cash Suvidha,Seed,1000000.0,2018,2016,Delhi,Finance
2018-04-28,Pentation Analytics,Seed,5800000.0,2018,2016,Mumbai,FinTech
2018-04-29,Doubtnut,Seed,35000000.0,2018,2016,Gurugram,Education
2018-04-29,FabAlley,Series B,600000000.0,2018,2016,Noida,Lifestyle
2018-04-30,Ontrack Technologies Pvt. Ltd,Seed,5800000.0,2018,2016,Bangalore,Consumer Services
2018-04-30,PayMe India,Angel,2000000.0,2018,2016,Noida,FinTech
2018-04-30,Eduvanz,Angel,500000.0,2018,2016,Mumbai,Finance
2018-05-01,Dream11,Series D,100000000.0,2018,2016,Mumbai,Gaming
2018-05-01,Qbera,Venture - Series Unknown,140000000.0,2018,2016,Bangalore,Finance
2018-05-02,ORO Wealth,Series A,1600000.0,2018,2016,Mumbai,Finance
2018-05-03,Wealthtrust,Seed,500000.0,2018,2016,Mumbai,Finance
2018-05-04,Trell,Seed,1250000.0,2018,2016,Bangalore,Technology
2018-05-06,Pipa+Bella,Series A,1000000.0,2018,2016,Mumbai,Consumer Services
2018-05-06,Veritas Finance,Venture - Series Unknown,30000000.0,2018,2016,Guindy,Finance
2018-05-06,Gugu,Seed,250000.0,2018,2016,Coimbatore,Energy
2018-05-07,Cred,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-05-10,Milkbasket,Series A,7000000.0,2018,2016,Haryana,Consumables
2018-05-11,WOTU,Seed,5800000.0,2018,2016,Bangalore,Consumables
2018-05-13,Groww,Seed,120000.0,2018,2016,Kormangala,Finance
2018-05-15,Nivesh.com,Seed,30000000.0,2018,2016,Noida,Marketing
2018-05-15,Magic Crate,Seed,5800000.0,2018,2016,Bangalore,Education
2018-05-15,PivotRoots,Series A,5800000.0,2018,2016,Mumbai,Consumer Services
2018-05-15,Khabri,Seed,5800000.0,2018,2016,Haryana,Technology
2018-05-16,Shopkirana,Venture - Series Unknown,2000000.0,2018,2016,Indore,Consumer Services
2018-05-16,Ambee,Angel,5800000.0,2018,2016,Bangalore,Automotive
2018-05-17,Benepik,Seed,5800000.0,2018,2016,Gurugram,Other
2018-05-18,Propelld,Seed,250000.0,2018,2016,Bangalore,FinTech
